Voltage in mV 	 time in ms 
-3.06	,	857008
-3.52	,	857258
-3.70	,	857508
-4.08	,	857758
-4.17	,	858008
-4.47	,	858258
-4.62	,	858508
-4.97	,	858758
-5.05	,	859008
-5.19	,	859258
-5.16	,	859508
-5.20	,	859758
-5.12	,	860008
-5.30	,	860258
-5.17	,	860508
-5.28	,	860758
-5.11	,	861008
-5.17	,	861258
-5.02	,	861508
-5.12	,	861758
-4.91	,	862008
-5.03	,	862258
-4.81	,	862508
-4.91	,	862758
-4.67	,	863008
-4.83	,	863258
-4.52	,	863508
-4.64	,	863758
-4.42	,	864008
-4.53	,	864258
-4.27	,	864508
-4.41	,	864758
-4.16	,	865008
-4.25	,	865258
-4.05	,	865508
-4.14	,	865758
-3.89	,	866008
-4.02	,	866258
-3.83	,	866508
-3.94	,	866758
-3.75	,	867008
-3.89	,	867258
-3.67	,	867508
-3.80	,	867758
-3.62	,	868008
-3.84	,	868258
-3.59	,	868508
-3.75	,	868758
-3.62	,	869008
-3.78	,	869258
-3.62	,	869508
-3.84	,	869758
-3.66	,	870008
-3.86	,	870258
-3.69	,	870508
-3.89	,	870758
-3.75	,	871008
-3.97	,	871258
-3.84	,	871508
-4.00	,	871758
-3.89	,	872008
-4.11	,	872258
-3.91	,	872508
-4.11	,	872758
-4.05	,	873008
-4.17	,	873258
-4.11	,	873508
-4.30	,	873758
-4.19	,	874008
-4.39	,	874258
-4.28	,	874508
-4.48	,	874758
-4.41	,	875008
-4.61	,	875258
-4.55	,	875508
-4.70	,	875758
-4.66	,	876008
-4.89	,	876258
-4.75	,	876508
-4.97	,	876758
-4.89	,	877008
-5.06	,	877258
-4.97	,	877508
-5.17	,	877758
-5.09	,	878008
-5.28	,	878258
-5.22	,	878508
-5.39	,	878758
-5.33	,	879008
-5.53	,	879258
-5.44	,	879508
-5.61	,	879758
-5.53	,	880008
-5.69	,	880258
-5.64	,	880508
-5.81	,	880758
-5.75	,	881008
-5.94	,	881258
-5.84	,	881508
-6.00	,	881758
-5.92	,	882008
-6.11	,	882258
-6.03	,	882508
-6.17	,	882758
-6.16	,	883008
-6.27	,	883258
-6.27	,	883508
-6.33	,	883758
-6.33	,	884008
-6.47	,	884258
-6.42	,	884508
-6.53	,	884758
-6.55	,	885008
-6.67	,	885258
-6.66	,	885508
-6.75	,	885758
-6.75	,	886008
-6.86	,	886258
-6.84	,	886508
-6.91	,	886758
-6.95	,	887008
-7.03	,	887258
-7.09	,	887508
-7.14	,	887758
-7.16	,	888008
-7.25	,	888258
-7.27	,	888508
-7.27	,	888758
-7.37	,	889008
-7.37	,	889258
-7.50	,	889508
-7.42	,	889758
-7.55	,	890008
-7.55	,	890258
-7.64	,	890508
-7.62	,	890758
-7.70	,	891008
-7.73	,	891258
-7.86	,	891508
-7.83	,	891758
-7.89	,	892008
-7.89	,	892258
-8.02	,	892508
-7.95	,	892758
-8.09	,	893008
-8.05	,	893258
-8.20	,	893508
-8.14	,	893758
-8.27	,	894008
-8.22	,	894258
-8.33	,	894508
-8.31	,	894758
-8.45	,	895008
-8.41	,	895258
-8.53	,	895508
-8.45	,	895758
-8.58	,	896008
-8.53	,	896258
-8.69	,	896508
-8.58	,	896758
-8.77	,	897008
-8.67	,	897258
-8.84	,	897508
-8.80-8.94	,	898008
-8.83	,	898258
-8.98	,	898508
-8.94	,	898758
-9.11	,	899008
-8.97	,	899258
-9.19	,	899508
-9.05	,	899758
-9.27	,	900008
-9.11	,	900258
-9.31	,	900508
-9.19	,	900758
-9.41	,	901008
-9.25	,	901258
-9.44	,	901508
-9.30	,	901758
-9.50	,	902008
-9.39	,	902258
-9.61	,	902508
-9.45	,	902758
-9.61	,	903008
-9.52	,	903258
-9.78	,	903508
-9.61	,	903758
-9.75	,	904008
-9.66	,	904258
-9.83	,	904508
-9.75	,	904758
-9.92	,	905008
-9.73	,	905258
-9.97	,	905508
-9.86	,	905758
-10.05	,	906008
-9.88	,	906258
-10.06	,	906508
-9.94	,	906758
-10.13	,	907008
-10.02	,	907258
-10.17	,	907508
-10.03	,	907758
-10.23	,	908008
-10.13	,	908258
-10.28	,	908508
-10.19	,	908758
-10.38	,	909008
-10.22	,	909258
-10.39	,	909508
-10.30	,	909758
-10.47	,	910008
-10.30	,	910258
-10.50	,	910508
-10.33	,	910758
-10.56	,	911008
-10.38	,	911258
-10.61	,	911508
-10.45	,	911758
-10.67	,	912008
-10.47	,	912258
-10.69	,	912508
-10.55	,	912758
-10.73	,	913008
-10.58	,	913258
-10.78	,	913508
-10.63	,	913758
-10.83	,	914008
-10.64	,	914258
-10.86	,	914508
-10.70	,	914758
-10.88	,	915008
-10.77	,	915258
-10.94	,	915508
-10.78	,	915758
-10.98	,	916008
-10.81	,	916258
-11.02	,	916508
-10.88	,	916758
-11.06	,	917008
-10.94	,	917258
-11.09	,	917508
-10.94	,	917758
-11.13	,	918008
-10.98	,	918258
-11.16	,	918508
-11.00	,	918758
-11.16	,	919008
-11.02	,	919258
-11.17	,	919508
-11.03	,	919758
-11.20	,	920008
-11.05	,	920258
-11.23	,	920508
-11.13	,	920758
-11.28	,	921008
-11.09	,	921258
-11.27	,	921508
-11.13	,	921758
-11.31	,	922008
-11.17	,	922258
-11.33	,	922508
-11.16	,	922758
-11.36	,	923008
-11.20	,	923258
-11.39	,	923508
-11.23	,	923758
-11.39	,	924008
-11.25	,	924258
-11.45	,	924508
-11.30	,	924758
-11.45	,	925008
-11.33	,	925258
-11.50	,	925508
-11.28	,	925758
-11.48	,	926008
-11.34	,	926258
-11.55	,	926508
-11.39	,	926758
-11.58	,	927008
-11.36	,	927258
-11.61	,	927508
-11.42	,	927758
-11.63	,	928008
-11.47	,	928258
-11.64	,	928508
-11.45	,	928758
-11.67	,	929008
-11.47	,	929258
-11.66	,	929508
-11.48	,	929758
-11.66	,	930008
-11.50	,	930258
-11.67	,	930508
-11.52	,	930758
-11.66	,	931008
-11.50	,	931258
-11.67	,	931508
-11.52	,	931758
-11.69	,	932008
-11.55	,	932258
-11.72	,	932508
-11.53	,	932758
-11.73	,	933008
-11.55	,	933258
-11.72	,	933508
-11.56	,	933758
-11.72	,	934008
-11.53	,	934258
-11.70	,	934508
-11.56	,	934758
-11.73	,	935008
-11.56	,	935258
-11.72	,	935508
-11.58	,	935758
-11.70	,	936008
-11.59	,	936258
-11.75	,	936508
-11.59	,	936758
-11.75	,	937008
-11.61	,	937258
-11.73	,	937508
-11.66	,	937758
-11.78	,	938008
-11.67	,	938258
-11.80	,	938508
-11.63	,	938758
-11.77	,	939008
-11.63	,	939258
-11.78	,	939508
-11.67	,	939758
-11.80	,	940008
-11.66	,	940258
-11.81	,	940508
-11.72	,	940758
-11.78	,	941008
-11.67	,	941258
-11.80	,	941508
-11.69	,	941758
-11.80	,	942008
-11.72	,	942258
-11.81	,	942508
-11.72	,	942758
-11.81	,	943008
-11.75	,	943258
-11.88	,	943508
-11.75	,	943758
-11.86	,	944008
-11.78	,	944258
-11.88	,	944508
-11.77	,	944758
-11.86	,	945008
-11.81	,	945258
-11.89	,	945508
-11.78	,	945758
-11.92	,	946008
-11.83	,	946258
-11.92	,	946508
-11.81	,	946758
-11.92	,	947008
-11.83	,	947258
-11.94	,	947508
-11.84	,	947758
-11.92	,	948008
-11.84	,	948258
-11.94	,	948508
-11.86	,	948758
-11.94	,	949008
-11.83	,	949258
-11.98	,	949508
-11.86	,	949758
-11.95	,	950008
-11.86	,	950258
-11.98	,	950508
-11.88	,	950758
-11.95	,	951008
-11.86	,	951258
-12.00	,	951508
-11.91	,	951758
-11.98	,	952008
-11.91	,	952258
-12.00	,	952508
-11.89	,	952758
-11.98	,	953008
-11.88	,	953258
-11.98	,	953508
-11.91	,	953758
-11.97	,	954008
-11.89	,	954258
-12.02	,	954508
-11.92	,	954758
-12.02	,	955008
-11.89	,	955258
-12.00	,	955508
-11.91	,	955758
-11.98	,	956008
-11.91	,	956258
-11.98	,	956508
-11.94	,	956758
